"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in_1","pct_in_2"
"Sox17",1.28026169596346,0.0157249198902003,0.107844488924475,0.392572114334568,0.503718045318383,"Not significant",4.8480930833872,7.98657718120805
"Mrpl15",17.5568306558493,0.025714171864077,0.0922403008446405,0.588540175722614,0.652974681764581,"Not significant",52.2301228183581,64.7651006711409
"Lypla1",9.74972828312474,-0.0373141778467077,0.0937124585485246,0.328789448343748,0.454942233015293,"Not significant",39.4311570782159,44.3624161073826
"Tcea1",25.4483050022413,-0.00738311029102669,0.0807158160726623,0.638879204982648,0.692576788591505,"Not significant",66.0633484162896,74.8322147651007
"Atp6v1h",19.360069615661,0.0487075098840295,0.074915024178127,0.296924853909339,0.430225160664383,"Not significant",58.6296056884292,68.6577181208054
"Rb1cc1",23.9261097924377,-0.0159754602258953,0.0955807925998255,0.610848288766074,0.671525534841309,"Not significant",68.7136393018746,70.9395973154362
"4732440D04Rik",0.541789004571492,-0.0123343190254617,0.108014908203518,1,NA,"Not significant",1.87459599224305,1.94630872483221
"St18",33.8611442212953,0.123791094596248,0.202893799717466,0.0238164989192732,0.121703620040208,"Not significant",50.1616031027796,63.3557046979866
"Pcmtd1",18.6794500707538,-0.0225524067301435,0.0973533409553301,0.10988022618026,0.251190683497914,"Not significant",57.7246283128636,60.6040268456376
"Sntg1",1.0381845404459,-0.03155089749233,0.113265259959752,0.156481197797752,0.298960678423655,"Not significant",6.33484162895928,5.97315436241611
"Rrs1",3.90376491005392,-0.00779927701374472,0.101949375493275,0.317769809204413,0.446802285068559,"Not significant",16.677440206852,18.255033557047
"2610203C22Rik",5.41037646095015,-2.05372808710382,0.59857110673722,1.42413674256061e-05,0.00158125617665833,"Significant",13.8332255979315,9.06040268456376
"Vcpip1",12.1001355832856,-0.0870733735535469,0.124739814109704,0.0537181973849248,0.17839121790865,"Not significant",46.7356173238526,49.5302013422819
"1700034P13Rik",0.881639587403267,-0.0525320681956279,0.125334252746566,0.0268461619138986,NA,"Not significant",4.33096315449257,5.97315436241611
"Sgk3",26.6821838931789,-0.272190040585496,0.146458164014776,0.00473621919094193,0.0629134967951519,"Not significant",70.7175177763413,70.8053691275168
"Snhg6",11.0351488667721,-0.0565984614781661,0.114919804760806,0.21840091648008,0.359891169840945,"Not significant",43.4389140271493,51.6107382550336
"Cops5",16.6947174494642,0.0158778220834559,0.0967740815834966,0.29687072359021,0.430207751663215,"Not significant",49.8383968972204,63.2885906040269
"Cspp1",11.1731429378774,-0.0669475116903618,0.109096751900509,0.211097436667947,0.353287513501793,"Not significant",38.5908209437621,45.6375838926174
"Arfgef1",20.034589762322,-0.0249751912903166,0.0885832979504266,0.0572545307076761,0.182824329846487,"Not significant",57.7892695539754,63.758389261745
"Prex2",3.02420685852779,-0.00945588594188896,0.106102053267344,0.31634077548388,0.445467469198764,"Not significant",9.43762120232708,10.8053691275168
